D, [2011-01-24T12:23:36.629856 #7970] DEBUG -- :   SQL (0.5ms)  SHOW client_min_messages
D, [2011-01-24T12:23:36.630152 #7970] DEBUG -- :   SQL (0.2ms)  SET client_min_messages TO 'panic'
D, [2011-01-24T12:23:36.630326 #7970] DEBUG -- :   SQL (0.1ms)  SET standard_conforming_strings = on
D, [2011-01-24T12:23:36.630521 #7970] DEBUG -- :   SQL (0.1ms)  SET client_min_messages TO 'notice'
D, [2011-01-24T12:23:36.630719 #7970] DEBUG -- :   SQL (0.1ms)  SHOW TIME ZONE
D, [2011-01-24T12:23:36.632800 #7970] DEBUG -- :   Album Load (1.7ms)  SELECT "albums".* FROM "albums"
D, [2011-01-24T12:23:36.641503 #7970] DEBUG -- :   SQL (2.8ms)   SELECT a.attname, format_type(a.atttypid, a.atttypmod), d.adsrc, a.attnotnull
 FROM pg_attribute a LEFT JOIN pg_attrdef d
 ON a.attrelid = d.adrelid AND a.attnum = d.adnum
 WHERE a.attrelid = '"albums"'::regclass
 AND a.attnum > 0 AND NOT a.attisdropped
 ORDER BY a.attnum

D, [2011-01-24T12:23:36.661204 #7970] DEBUG -- :   Track Load (1.4ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 1)
D, [2011-01-24T12:23:36.662180 #7970] DEBUG -- :   SQL (0.6ms)   SELECT a.attname, format_type(a.atttypid, a.atttypmod), d.adsrc, a.attnotnull
 FROM pg_attribute a LEFT JOIN pg_attrdef d
 ON a.attrelid = d.adrelid AND a.attnum = d.adnum
 WHERE a.attrelid = '"tracks"'::regclass
 AND a.attnum > 0 AND NOT a.attisdropped
 ORDER BY a.attnum

D, [2011-01-24T12:23:36.679786 #7970] DEBUG -- :   Track Load (1.0ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 2)
D, [2011-01-24T12:23:36.681159 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 3)
D, [2011-01-24T12:23:36.682455 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 4)
D, [2011-01-24T12:23:36.683796 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 5)
D, [2011-01-24T12:23:36.685112 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 6)
D, [2011-01-24T12:23:36.686439 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 7)
D, [2011-01-24T12:23:36.687757 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 8)
D, [2011-01-24T12:23:36.689072 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 9)
D, [2011-01-24T12:23:36.690474 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 10)
D, [2011-01-24T12:23:36.691809 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 11)
D, [2011-01-24T12:23:36.693110 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 12)
D, [2011-01-24T12:23:36.694414 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 13)
D, [2011-01-24T12:23:36.695723 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 14)
D, [2011-01-24T12:23:36.697028 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 15)
D, [2011-01-24T12:23:36.698332 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 16)
D, [2011-01-24T12:23:36.699647 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 17)
D, [2011-01-24T12:23:36.700980 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 18)
D, [2011-01-24T12:23:36.702293 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 19)
D, [2011-01-24T12:23:36.703654 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 20)
D, [2011-01-24T12:23:36.704991 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 21)
D, [2011-01-24T12:23:36.706311 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 22)
D, [2011-01-24T12:23:36.707644 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 23)
D, [2011-01-24T12:23:36.708945 #7970] DEBUG -- :   Track Load (0.7ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 24)
D, [2011-01-24T12:23:36.710252 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 25)
D, [2011-01-24T12:23:36.711558 #7970] DEBUG -- :   Track Load (0.8ms)  SELECT "tracks".* FROM "tracks" WHERE ("tracks".album_id = 26)
